WN;PS;PA;PC;PU;PET;PP;SAN;PVC;PE;POM;ABS
253.49901;0.03069;0.02771;0.04302;0.04368;0.08473;0.02748;0.08358;0.05542;0.00242;0.0079;0.07155
256.34526;0.02997;0.02755;0.04323;0.04241;0.08878;0.0233;0.08136;0.05661;0.00249;0.00693;0.0706
259.1906;0.02903;0.0282;0.04353;0.04129;0.09201;0.01871;0.07841;0.0606;0.00232;0.00716;0.06906
262.03504;0.02806;0.02809;0.0429;0.04032;0.09246;0.01584;0.0751;0.06125;0.0025;0.00699;0.0674
264.87856;0.02748;0.02899;0.04227;0.03707;0.09159;0.01192;0.07155;0.06088;0.00257;0.00717;0.06443
267.72117;0.02683;0.02881;0.04099;0.03634;0.08765;0.0102;0.06794;0.06239;0.00244;0.00701;0.06219
270.56288;0.02626;0.02933;0.04031;0.0345;0.08114;0.00717;0.06456;0.0652;0.00261;0.00755;0.05948
273.40367;0.02531;0.03025;0.03873;0.03072;0.07408;0.00583;0.06157;0.06208;0.00285;0.00777;0.05578
276.24356;0.02391;0.03144;0.03731;0.02985;0.06624;0.00541;0.05899;0.06207;0.00295;0.00755;0.05207
279.08254;0.0229;0.032;0.03562;0.02962;0.05936;0.00533;0.05707;0.06118;0.00286;0.00742;0.04799
281.92061;0.02147;0.03216;0.034;0.02918;0.05248;0.00406;0.05567;0.05879;0.00263;0.00772;0.0453
284.75777;0.02037;0.03239;0.03269;0.03047;0.04755;0.00394;0.05483;0.05862;0.00267;0.00766;0.04209
287.59403;0.01937;0.03244;0.03078;0.03298;0.04354;0.00329;0.05423;0.0601;0.00267;0.00759;0.03852
290.42938;0.01834;0.03022;0.02924;0.03559;0.04014;0.00372;0.05375;0.05994;0.00283;0.007;0.03735
293.26382;0.01785;0.02788;0.02797;0.03637;0.0377;0.00367;0.053;0.06167;0.00276;0.00707;0.03643
296.09736;0.01721;0.02639;0.02746;0.03699;0.03513;0.00643;0.05195;0.06508;0.00263;0.00612;0.03666
298.92999;0.01688;0.02551;0.02744;0.03653;0.03285;0.00817;0.05077;0.06868;0.0028;0.00592;0.03614
301.76171;0.01694;0.02435;0.02708;0.03411;0.03082;0.01234;0.04918;0.07054;0.00298;0.00538;0.03398
304.59253;0.0171;0.02343;0.02713;0.03351;0.02826;0.01621;0.04727;0.07339;0.0031;0.00446;0.03196
307.42245;0.01762;0.02205;0.02713;0.03346;0.02578;0.0194;0.04528;0.07544;0.00307;0.00388;0.03072
310.25146;0.01824;0.02111;0.02758;0.03357;0.02365;0.02049;0.04329;0.07902;0.00295;0.00369;0.02877
313.07956;0.01892;0.02013;0.02837;0.03479;0.02255;0.02179;0.04159;0.08242;0.00346;0.00321;0.02686
315.90676;0.01957;0.01961;0.02915;0.03837;0.02106;0.02023;0.04006;0.08574;0.00378;0.00312;0.02421
318.73306;0.02001;0.01784;0.02976;0.04025;0.02009;0.01806;0.03863;0.08753;0.00404;0.00348;0.02275
321.55846;0.02004;0.01667;0.03023;0.04257;0.01998;0.01538;0.03737;0.09021;0.00401;0.00512;0.02109
324.38295;0.01986;0.01649;0.03116;0.04499;0.01955;0.01305;0.03644;0.09066;0.00413;0.00569;0.01999
327.20654;0.02001;0.01592;0.03161;0.04962;0.01915;0.00998;0.03584;0.08979;0.00431;0.00599;0.01952
330.02922;0.01989;0.01428;0.03133;0.05383;0.01958;0.00885;0.03535;0.08947;0.00462;0.00624;0.01861
332.851;0.01963;0.0142;0.03064;0.05821;0.01957;0.00689;0.03497;0.0872;0.00468;0.00627;0.01742
335.67189;0.01911;0.01358;0.02956;0.06142;0.01921;0.00517;0.03455;0.0889;0.005;0.0061;0.01793
338.49187;0.01869;0.01428;0.02833;0.06251;0.01936;0.00387;0.03403;0.09071;0.00525;0.00629;0.01772
